objectid,SHAPE__Area,SHAPE__Length,fldn_area,fldn_bgng_tm,fldn_bgng_ymd,fldn_cs_dtl_nm,fldn_dowa,fldn_dst_nm,fldn_end_tm,fldn_end_ymd,fldn_grade,fldn_yr,sn,stdg_ctpv_cd,stdg_sgg_cd
1,14144.746051215,712.9086269599154,111757,1600,20020831,"농경지 침수 및 농작물 피해, 하우스 파손",1.64,2002년도 제 15호태풍 루사 집중호우,0000,20020901,4,2002,261,47,47130
2,1289.913095285,199.67660606492103,111757,1600,20020831,"농경지 침수 및 농작물 피해, 하우스 파손",0.85,2002년도 제 15호태풍 루사 집중호우,0000,20020901,2,2002,304,47,47130
3,68158.575350865,1071.2693209577767,591725,1600,20020831,"농경지 침수 및 농작물 피해, 하우스 파손",2.13,2002년도 제 15호태풍 루사 집중호우,0000,20020901,5,2002,101,47,47130
4,12251.699377725,445.4178667202156,591725,1600,20020831,"농경지 침수 및 농작물 피해, 하우스 파손",1.77,2002년도 제 15호태풍 루사 집중호우,0000,20020901,4,2002,288,47,47130
5,1001.44533882,138.8910828740765,111757,1600,20020831,"농경지 침수 및 농작물 피해, 하우스 파손",0.85,2002년도 제 15호태풍 루사 집중호우,0000,20020901,2,2002,300,47,47130
6,1350.500536675,260.88201258168544,140736,1600,20020831,"농경지 침수 및 농작물 피해, 하우스 파손",0.75,2002년도 제 15호태풍 루사 집중호우,0000,20020901,2,2002,154,47,47130
7,8538.2348069,497.6848707986785,111757,1600,20020831,"농경지 침수 및 농작물 피해, 하우스 파손",1.26,2002년도 제 15호태풍 루사 집중호우,0000,20020901,3,2002,196,47,47130
8,4909.16863509,316.2980353870679,140736,1600,20020831,"농경지 침수 및 농작물 피해, 하우스 파손",0.21,2002년도 제 15호태풍 루사 집중호우,0000,20020901,1,2002,252,47,47130
9,36418.417177975,835.4046235550018,541340,1600,20020831,"농경지 침수 및 농작물 피해, 하우스 파손",2.15,2002년도 제 15호태풍 루사 집중호우,0000,20020901,5,2002,24,47,47130
10,7981.87494171,411.49087348635624,591725,1600,20020831,"농경지 침수 및 농작물 피해, 하우스 파손",2.88,2002년도 제 15호태풍 루사 집중호우,0000,20020901,5,2002,233,47,47130
11,1232.879562405,195.92369583355955,591725,1600,20020831,"농경지 침수 및 농작물 피해, 하우스 파손",0.95,2002년도 제 15호태풍 루사 집중호우,0000,20020901,2,2002,280,47,47130
12,6205.57881123,328.6469551501441,47274,1600,20020831,"농경지 침수 및 농작물 피해, 하우스 파손",2.11,2002년도 제 15호태풍 루사 집중호우,0000,20020901,5,2002,303,47,47130
13,3853.8126929,312.9098668529596,421755,1600,20020831,"농경지 침수 및 농작물 피해, 하우스 파손",1.75,2002년도 제 15호태풍 루사 집중호우,0000,20020901,4,2002,248,47,47130
14,29577.461597415,749.6835880429546,541340,1600,20020831,"농경지 침수 및 농작물 피해, 하우스 파손",1.24,2002년도 제 15호태풍 루사 집중호우,0000,20020901,3,2002,65,47,47130
15,446.377521815,84.07789137981847,591725,1600,20020831,"농경지 침수 및 농작물 피해, 하우스 파손",1.28,2002년도 제 15호태풍 루사 집중호우,0000,20020901,3,2002,205,47,47130
16,7025.12523329,344.36697237184507,591725,1600,20020831,"농경지 침수 및 농작물 피해, 하우스 파손",0.18,2002년도 제 15호태풍 루사 집중호우,0000,20020901,1,2002,53,47,47130
17,14497.36927297,509.3697297906925,140736,1600,20020831,"농경지 침수 및 농작물 피해, 하우스 파손",0.75,2002년도 제 15호태풍 루사 집중호우,0000,20020901,2,2002,193,47,47130
18,4699.528948325,328.09063006730804,421755,1600,20020831,"농경지 침수 및 농작물 피해, 하우스 파손",0.86,2002년도 제 15호태풍 루사 집중호우,0000,20020901,2,2002,138,47,47130
