stdg_ctpv_cd,record_count,unique_fldn_bgng_ymd_count,missing_fldn_bgng_ymd_count,missing_fldn_bgng_tm_count,fldn_bgng_tm_0000_count,fldn_bgng_tm_unavailable_count,missing_fldn_end_ymd_count,missing_fldn_end_tm_count,fldn_end_tm_0000_count,fldn_end_tm_unavailable_count,topology_invalid_count
11,9002,21,427,427,675,1102,427,427,0,427,15
26,479,18,0,0,21,21,0,0,38,38,0
27,5,1,0,0,5,5,0,0,5,5,0
28,144,13,0,0,65,65,0,0,66,66,0
29,447,11,5,5,37,42,5,5,32,37,0
30,171,7,0,0,26,26,0,0,22,22,0
31,402,9,0,0,25,25,0,0,22,22,0
36,25,7,0,0,3,3,0,0,0,0,0
41,6730,61,15,21,2235,2256,15,21,2397,2418,0
42,2366,42,0,0,1306,1306,0,0,1298,1298,0
43,5218,30,0,36,1348,1384,0,39,1282,1321,0
44,1989,14,3,3,1590,1593,3,3,39,42,2
45,1329,35,0,0,332,332,0,0,183,183,0
46,2472,30,0,0,486,486,0,0,447,447,2
47,1402,15,0,0,75,75,2,0,482,482,0
48,3806,37,1,471,105,576,1,471,96,567,3
50,2016,31,0,25,455,480,0,25,524,549,0
