fldn_yr,record_count,unique_fldn_bgng_ymd_count,missing_fldn_bgng_ymd_count,missing_fldn_bgng_tm_count,fldn_bgng_tm_0000_count,fldn_bgng_tm_unavailable_count,missing_fldn_end_ymd_count,missing_fldn_end_tm_count,fldn_end_tm_0000_count,fldn_end_tm_unavailable_count,topology_invalid_count,province_count
0,257,1,0,257,0,257,0,257,0,257,0,1
2002,312,1,0,0,0,0,0,0,312,312,0,1
2003,21,2,0,0,0,0,0,0,0,0,0,1
2005,19,2,0,0,19,19,0,0,19,19,0,1
2006,3807,12,0,6,3015,3021,0,6,3015,3021,0,8
2007,419,12,0,0,371,371,0,0,360,360,0,7
2008,392,5,0,0,74,74,0,0,208,208,0,6
2009,1124,10,0,0,641,641,0,0,644,644,0,7
2010,845,9,0,0,286,286,0,0,292,292,0,7
2011,1485,10,0,0,391,391,0,0,367,367,0,8
2012,1946,19,0,197,248,445,0,197,109,306,0,14
2013,1488,9,0,0,0,0,0,0,0,0,0,4
2014,401,6,0,0,0,0,0,0,4,4,0,6
2015,6,1,0,0,0,0,0,0,0,0,0,1
2016,581,5,0,30,0,30,0,30,0,30,0,6
2017,3532,8,0,36,0,36,0,39,0,39,0,6
2018,893,20,0,11,123,134,0,11,57,68,0,14
2019,903,18,0,0,37,37,2,0,17,17,0,11
2020,6637,38,0,0,1279,1279,0,0,1309,1309,0,14
2021,1232,16,7,7,14,21,7,7,2,9,3,12
2022,11703,26,444,444,2291,2735,444,444,218,662,19,10
