field_name,official_korean_name,dbf_type,dbf_length,dbf_decimal_count,candidate_ml_role,available_in_2022_snapshot
A0,원천도형ID,N,9,0,source_id,True
A1,GIS건물통합식별번호,C,28,0,candidate_building_id,True
A2,고유번호(PNU),C,19,0,parcel_join_key,True
A3,법정동코드,C,10,0,administrative_join_key,True
A4,법정동명,C,254,0,address_attribute,True
A5,지번,C,8,0,address_attribute,True
A6,특수지코드,C,1,0,address_attribute,True
A7,특수지구분명,C,254,0,address_attribute,True
A8,건축물용도코드,C,5,0,candidate_feature,True
A9,건축물용도명,C,254,0,candidate_feature,True
A10,건축물구조코드,C,2,0,candidate_feature,True
A11,건축물구조명,C,254,0,candidate_feature,True
A12,건축물면적(㎡),F,19,11,candidate_feature,True
A13,사용승인일자,C,10,0,candidate_feature_and_time_filter,True
A14,연면적,F,19,11,candidate_feature,True
A15,대지면적(㎡),F,19,11,candidate_feature,True
A16,높이(m),F,19,11,candidate_feature,True
A17,건폐율(%),F,19,11,candidate_feature,True
A18,용적율(%),F,19,11,candidate_feature,True
A19,건축물ID,C,28,0,candidate_join_key,True
A20,위반건축물여부,C,2,0,quality_attribute,True
A21,참조체계연계키,C,17,0,candidate_join_key,True
A22,데이터기준일자,D,8,0,snapshot_quality_attribute,True
