event_id,fldn_bgng_ymd,fldn_bgng_tm,fldn_yr,polygon_count,sgg_codes,disaster_names
GB-20020831-1600,20020831,1600,2002,312,47130,2002년도 제 15호태풍 루사 집중호우
GB-20080724-1600,20080724,1600,2008,134,47920,2008년도  집중호우
GB-20110709-1000,20110709,1000,2011,11,47820,2011년 집중호우
GB-20110709-1900,20110709,1900,2011,6,47820,2011년 집중호우
GB-20120823-0000,20120823,0000,2012,5,47830,운수면 운산지구
GB-20120917-0000,20120917,0000,2012,38,47170;47830,개진면 부리지구 | 고령읍 외리지구 | 다산면 좌학지구 | 부리지구 | 신곡지구 | 우곡면 대곡지구 | 우곡면 사촌지구 | 운수면 월산지구 | 제16호 태풍산바 | 제16호태풍산바
GB-20120917-0500,20120917,0500,2012,108,47130,제16호태풍(산바)
GB-20120917-0800,20120917,0800,2012,118,47130,제16호태풍(산바) | 제16호태풍산바
GB-20120917-1000,20120917,1000,2012,22,47111;47113;47250,2012년 태풍 산바 | 제16호 태풍 산바 | 제16호태풍 산바
GB-20120917-1200,20120917,1200,2012,4,47840,제16호태풍(산바)
GB-20120917-1300,20120917,1300,2012,15,47111;47250,2012년 태풍 산바 | 2012년 태풍 산바에 따른 침수 | 제16호태풍 산바
GB-20120917-1400,20120917,1400,2012,153,47150;47190,16호태풍 산바로 인한 침수 | 16호태풍 산바로 인한침수 | 16호태풍산바 | 16호태풍산바로인한침수 | 16호태풍산바에의한침수
GB-20120917-1500,20120917,1500,2012,38,47190;47250,16호태풍산바 | 2012년 태풍 산바 | 2012년 태풍 산바에 따른 침수 | 2012년 태풍산바에 따른 침수
GB-20120917-1600,20120917,1600,2012,15,47190,16호태풍산바
GB-20180704-2000,20180704,2000,2018,2,47190,2018년 국지성 집중호우
GB-20181005-0000,20181005,0000,2018,2,47770,제25호태풍콩레이
GB-20181006-0000,20181006,0000,2019,15,47770,제25호 태풍 콩레이
GB-20181006-0600,20181006,0600,2018,49,47130,태풍 콩레이
GB-20190922-1600,20190922,1600,2019,54,47111;47113,제  17호 태풍 타파 | 제17호태풍타파
GB-20191002-0000,20191002,0000,2019,12,47760;47770,제 18호 태풍 미탁 | 제 18호태풍 미탁 | 제18호 태풍 미탁
GB-20191002-2000,20191002,2000,2019,35,47930,제18호 태풍 미탁
GB-20191002-2200,20191002,2200,2019,50,47760;47770;47840,제18호 태풍 미탁 | 제18호 태풍 콩레이
GB-20191002-2300,20191002,2300,2019,82,47760;47770,제 18호 태풍 미탁 | 제 18호태풍 미탁 | 제18호 태풍 미탁 | 제18호 태풍 콩레이 | 제18호태풍미탁 | 탁제18호태풍미
GB-20191003-1200,20191003,1200,2019,15,47113,제18호 태풍 미탁 | 제18호태풍미탁
GB-20200724-0100,20200724,0100,2020,10,47770,집중호우
GB-20200807-1500,20200807,1500,2020,6,47830,2020.08.07 집중호우
GB-20210711-0000,20210711,0000,2021,3,47830,집중호우(7.11.)
GB-20210711-1900,20210711,1900,2021,36,47830,집중호우(7.11.)
GB-20210824-0700,20210824,0700,2021,34,47900,12호 태풍 오마이스
GB-20210824-1200,20210824,1200,2021,18,47113;47170;47750,제12호 태풍 오마이스 | 태풍 오마이스
