building_id,pnu,building_name,legal_dong_name,lot_number,longitude,latitude,underground_parking_status,underground_parking_confirmed,underground_floor_count_gis,indoor_parking_slots_max,main_purpose_name,surface_elevation_m,relative_elevation_m,elevation_match_distance_m,terrain_risk,terrain_observed_flood_rate,terrain_lift_vs_average,distance_to_past_flood_m,inside_past_flood_area,static_risk,rain_trigger_level,rain_trigger_rule
1986303388533249785600000000,4725010900100770001,,경상북도 상주시 무양동,77-1,128.1535895,36.4201703,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,58.52,6.7,23.1,MODERATE,0.052,0.8,1476.9,0,MODERATE,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1983303334383243538300000000,4725011000100040008,,경상북도 상주시 낙양동,4-8,128.1529029,36.4145475,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,61.82,10.0,13.1,MODERATE,0.052,0.8,1470.6,0,MODERATE,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1984303402653242576300000000,4725011000101100010,,경상북도 상주시 낙양동,110-10,128.153651,36.4136733,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,60.83,9.01,3.2,MODERATE,0.052,0.8,1391.6,0,MODERATE,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1984303894583236437000000000,4725010700102140008,,경상북도 상주시 남성동,214-8,128.1590526,36.4080891,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,62.97,10.77,5.1,LOW,0.004,0.1,999.9,0,LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1988303437353257800700000000,4725013300106530015,,경상북도 상주시 만산동,653-15,128.1542406,36.4273866,GIS_BASEMENT_CANDIDATE_NOT_CONFIRMED_BY_TITLE,0,1,0.0,제2종근린생활시설,62.65,10.83,24.3,LOW,0.004,0.1,1813.2,0,LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1984304173113248711200000000,4725010600100220007,,경상북도 상주시 서성동,22-7,128.1623218,36.4191177,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,56.94,6.68,15.2,MODERATE,0.052,0.8,559.1,0,MODERATE,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1983304503103249827600000000,4725010400103870010,,경상북도 상주시 복룡동,387-10,128.1660154,36.4200876,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,55.16,4.9,4.0,HIGH,0.148,2.3,466.6,0,VERY_HIGH,호우주의보,3시간 60mm 이상 또는 12시간 110mm 이상
1987304397313242802300000000,4725010200106330005,,경상북도 상주시 성동동,633-5,128.1647417,36.4137697,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,56.6,6.34,19.9,MODERATE,0.052,0.8,183.7,0,HIGH,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1994304465063247173500000000,4725010300100280013,,경상북도 상주시 인봉동,28-13,128.1655558,36.4177007,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,55.81,5.55,5.6,MODERATE,0.052,0.8,213.1,0,HIGH,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1979304419923241952500000000,4725010200102620020,,경상북도 상주시 성동동,262-20,128.1649822,36.4130013,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,56.07,5.81,16.3,MODERATE,0.052,0.8,223.2,0,HIGH,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1990303485553240241800000000,4725011000101230046,,경상북도 상주시 낙양동,123-46,128.1545441,36.4115612,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,62.39,10.57,18.5,LOW,0.004,0.1,1332.8,0,LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1981304102883246948300000000,4725010600101030004,,경상북도 상주시 서성동,103-4,128.161515,36.4175369,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,58.72,8.46,4.4,MODERATE,0.052,0.8,549.9,0,MODERATE,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1989304375043242694400000000,4725010200106330024,,경상북도 상주시 성동동,633-24,128.1644918,36.4136746,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,56.61,6.34,4.5,MODERATE,0.052,0.8,212.9,0,HIGH,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1983304025473245221800000000,4725010600101490005,,경상북도 상주시 서성동,149-5,128.1606275,36.415988,UNDERGROUND_FLOOR_ONLY,0,1,0.0,제1종근린생활시설,60.87,10.61,29.1,LOW,0.004,0.1,614.9,0,LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1980303558193237607500000000,4725011000101720020,,경상북도 상주시 낙양동,172-20,128.1553195,36.4091807,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,62.47,10.27,14.8,LOW,0.004,0.1,1346.2,0,LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
0000304162593238099400000000,4725010700101650002,,경상북도 상주시 남성동,165-2,128.1620593,36.4095547,PROBABLE_NOT_CONFIRMED_IN_FLOOR_ROWS,0,1,21.0,공동주택,57.38,6.68,14.7,MODERATE,0.052,0.8,724.2,0,MODERATE,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
2013304106833247113300000000,4725010600101030003,,경상북도 상주시 서성동,103-3,128.1615614,36.4176852,PROBABLE_NOT_CONFIRMED_IN_FLOOR_ROWS,0,1,10.0,숙박시설,57.85,7.59,2.2,MODERATE,0.052,0.8,550.8,0,MODERATE,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1995304301713414605000000000,4725025021105860000,,경상북도 상주시 함창읍 구향리,586,128.1659909,36.5685685,UNDERGROUND_FLOOR_ONLY,0,1,0.0,동물및식물관련시설,78.11,13.84,35.9,LOW,0.004,0.1,14904.7,0,LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1995303900733236064300000000,4725010700102150000,,경상북도 상주시 남성동,215,128.1591161,36.4077525,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,62.81,10.6,5.5,LOW,0.004,0.1,975.4,0,LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1988303694083250559500000000,4725010900102200000,,경상북도 상주시 무양동,220,128.1570063,36.4208348,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,58.64,6.82,4.0,MODERATE,0.052,0.8,1157.6,0,MODERATE,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
2008277622863094030800000000,4725039032107230004,,경상북도 상주시 모서면 호음리,723-4,127.8647836,36.2822503,UNDERGROUND_FLOOR_ONLY,0,1,0.0,공동주택,,,2813.6,UNKNOWN,,,30783.4,0,UNKNOWN,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1992304156343240098700000000,4725010700101580004,,경상북도 상주시 남성동,158-4,128.1620205,36.4113611,UNDERGROUND_FLOOR_ONLY,0,1,0.0,제1종근린생활시설,58.13,7.87,15.1,MODERATE,0.052,0.8,585.2,0,MODERATE,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1986303838803232707200000000,4725011200101880003,,경상북도 상주시 신봉동,188-3,128.1583811,36.4047346,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,66.95,14.74,26.1,LOW,0.004,0.1,947.1,0,LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1990305015423251954300000000,4725010500100110000,,경상북도 상주시 냉림동,11,128.1717555,36.421948,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,53.37,6.3,35.4,MODERATE,0.052,0.8,707.7,0,MODERATE,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1992303765753232970800000000,4725011200102150001,,경상북도 상주시 신봉동,215-1,128.1575704,36.40498,UNDERGROUND_FLOOR_ONLY,0,1,0.0,단독주택,70.73,18.52,14.4,LOW,0.004,0.1,1040.1,0,LOW,극한호우,"1시간 50mm 이상이면서 3시간 90mm 이상, 또는 1시간 72mm 이상"
1995305053583247203500000000,4725010400102060006,상주2차우방타운,경상북도 상주시 복룡동,206-6,128.1721166,36.4176634,UNDERGROUND_FLOOR_ONLY,0,1,0.0,공동주택,53.96,5.67,6.0,MODERATE,0.052,0.8,412.0,0,HIGH,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1980303830083250526300000000,4725010900102370002,,경상북도 상주시 무양동,237-2,128.1585219,36.4207901,UNDERGROUND_FLOOR_ONLY,0,1,0.0,제1종근린생활시설,58.84,7.02,19.4,MODERATE,0.052,0.8,1009.9,0,MODERATE,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1988304253433244411300000000,4725010100100080004,,경상북도 상주시 성하동,8-4,128.1631593,36.4152347,UNDERGROUND_FLOOR_ONLY,0,1,0.0,숙박시설,60.17,9.91,1.6,MODERATE,0.052,0.8,331.9,0,HIGH,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
1983304440303242357800000000,4725010200102340006,,경상북도 상주시 성동동,234-6,128.1652149,36.4133644,UNDERGROUND_FLOOR_ONLY,0,1,0.0,공동주택,57.62,7.36,3.6,MODERATE,0.052,0.8,175.4,0,HIGH,호우경보,3시간 90mm 이상 또는 12시간 180mm 이상
