approval_year,building_use_name,existed_at_flood,first_flood_year,gis_building_id,last_flood_year,latitude,legal_dong_code,longitude,pnu,register_rows_on_parcel,underground_floor_count,underground_parking_confirmed,underground_parking_evidence,underground_parking_status
1992,제2종근린생활시설,YES,2022,1992191717384452950500000000,2022,37.509821,1156011800,126.907094,1156011800100820015,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
2015,공장,YES,2022,2015189856544406851100000000,2022,37.4683128,1154510100,126.8861122,1154510100106700000,1,4,Y,지하 지3층 / 기타공장,CONFIRMED_BASEMENT_PARKING_USE
1981,제2종근린생활시설,YES,2022,1981201331834525751900000000,2022,37.5754726,1111017500,127.0158647,1111017500100650020,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1964,단독주택,YES,2022,1964201228344528098500000000,2022,37.5775894,1111017400,127.0146958,1111017400100230075,2,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1998,단독주택,YES,2022,1998201307434528091900000000,2022,37.5775888,1111017500,127.0155859,1111017500100550005,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1992,업무시설,YES,2022,1992191244304389304300000000,2022,37.4524686,1154510300,126.9018249,1154510300108890019,1,1,N,,PROBABLE_NOT_CONFIRMED_IN_FLOOR_ROWS
1986,단독주택,YES,2022,1986191235994393064100000000,2022,37.4558872,1154510300,126.9017348,1154510300108810052,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1977,공동주택,YES,2022,1977191113594415444900000000,2022,37.4760419,1154510200,126.9003248,1154510200109650029,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1987,단독주택,YES,2022,1987213116504439609800000000,2022,37.497764,1171011400,127.1491168,1171011400101320006,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1978,제1종근린생활시설,YES,2022,1978190869124408677900000000,2022,37.4699631,1154510200,126.8975564,1154510200102890007,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1992,단독주택,YES,2022,1992198223054423319300000000,2022,37.4831781,1159010700,126.9806984,1159010700110050019,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1988,제1종근린생활시설,YES,2022,1988191245094389663600000000,2022,37.4527821,1154510300,126.9018551,1154510300108890014,2,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1985,제2종근린생활시설,YES,2022,1985200463274521542000000000,2022,37.5716708,1111016200,127.0060308,1111016200101750001,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1996,제1종근린생활시설,YES,2022,1996196179864417475600000000,2022,37.4779047,1162010100,126.9576001,1162010100116260001,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
1989,단독주택,YES,2022,1989197353554424645800000000,2022,37.4843719,1159010700,126.9708647,1159010700102500009,1,1,N,,REGISTER_ROW_WITHOUT_INDOOR_PARKING
