underground_parking_status,underground_parking_evidence,floor_detail_rows_collected,indoor_parking_count,pnu,mgmBldrgstPk,platPlc,newPlatPlc,sigunguCd,bjdongCd,platGbCd,bun,ji,bldNm,dongNm,regstrGbCd,regstrGbCdNm,regstrKindCd,regstrKindCdNm,mainAtchGbCd,mainAtchGbCdNm,mainPurpsCd,mainPurpsCdNm,etcPurps,ugrndFlrCnt,grndFlrCnt,indrMechUtcnt,indrMechArea,indrAutoUtcnt,indrAutoArea,oudrMechUtcnt,oudrMechArea,oudrAutoUtcnt,oudrAutoArea,useAprDay,crtnDay,archArea,atchBldArea,atchBldCnt,bcRat,block,bylotCnt,emgenUseElvtCnt,engrEpi,engrGrade,engrRat,etcRoof,etcStrct,fmlyCnt,gnBldCert,gnBldGrade,heit,hhldCnt,hoCnt,itgBldCert,itgBldGrade,lot,naBjdongCd,naMainBun,naRoadCd,naSubBun,naUgrndCd,platArea,pmsDay,pmsnoGbCd,pmsnoGbCdNm,pmsnoKikCd,pmsnoKikCdNm,pmsnoYear,rideUseElvtCnt,rnum,roofCd,roofCdNm,rserthqkAblty,rserthqkDsgnApplyYn,splotNm,stcnsDay,strctCd,strctCdNm,totArea,totDongTotArea,vlRat,vlRatEstmTotArea
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,1.0,4711110100100180263,122613634,경상북도 포항시 남구 상도동 18-263번지,경상북도 포항시 남구 포스코대로 324 (상도동),47111,10100,0,0018,0263,,,1,일반,2,일반건축물,0,주건축물,14000,업무시설,"업무시설, 근린생활시설, 운동시설",1,4,0,0,1,11.5,0,0,4,46,19951213,20221126,651.37,0,0,81.42,,1,0,0,,0,콘크리트스라브,철근콘크리트조,0,0,,16.7,0,0,0,,,10101,324,471112303003,0,0,800,19951127,,,,,,1,294,10,(철근)콘크리트,,0,,,21,철근콘크리트구조,3228.48,3228.48,320.69,2565.54
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,48.0,4711110100105790008,12261100261707,경상북도 포항시 남구 상도동 579-8번지,경상북도 포항시 남구 중흥로101번길 7 (상도동),47111,10100,0,0579,0008,삼도 뷰엔빌 미니,삼도 뷰엔빌 미니,2,집합,3,표제부,0,주건축물,02000,공동주택,"아파트(도시형생활주택-원룸형),근린생활시설",2,9,34,0,14,800.645,0,0,0,0,20140630,20221126,950.5239,0,0,72.865,,0,0,0,,0,(철근)콘크리트,철근콘크리트구조,0,0,,32.47,99,11,0,,,10101,7,471114709539,0,0,1304.5,19970506,1101,신축허가,5020081,주택과,1997,3,811,10,(철근)콘크리트,,1,,19970605,21,철근콘크리트구조,6180.1235,6180.1235,389.8117,5085.0935
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,854.0,4711110100105820000,122614957,경상북도 포항시 남구 상도동 582번지,경상북도 포항시 남구 중흥로 77 (상도동),47111,10100,0,0582,0000,밸류플러스복합빌딩,,2,집합,3,표제부,0,주건축물,07000,판매시설,"문화및집회시설,판매시설,업무시설",4,8,0,0,854,0,0,0,4,0,20070628,20221126,6552.73,0,0,70.871737,,0,2,0,,0,(철근)콘크리트,철골철근콘크리트구조,0,0,,43.45,0,0,0,,,10101,77,471113303049,0,0,9245.9,20050413,,,,,,5,822,10,(철근)콘크리트,,1,,20051007,42,철골철근콘크리트구조,72067.95,72067.95,437.69184,40468.55
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,42.0,4711110100105900001,12261100233284,경상북도 포항시 남구 상도동 590-1번지,경상북도 포항시 남구 중흥로57번길 6 (상도동),47111,10100,0,0590,0001,상도동 호텔,상도동 호텔,1,일반,2,일반건축물,0,주건축물,15000,숙박시설,숙박시설 및 제1종근린생활시설,1,9,0,0,42,488,0,0,0,0,20120127,20221126,758.1,0,0,68.05,,0,0,0,,0,(철근)콘크리트,철근콘크리트구조 및 일반철골조,0,0,,26.9,0,0,0,,,10101,6,471114709547,0,0,1114,20070202,1101,신축허가,5020081,주택과,2007,2,865,10,(철근)콘크리트,,1,,20080219,21,철근콘크리트구조,4995.294,4995.294,366.69,4084.894
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,75.0,4711110100106090006,1000000000000002779124,경상북도 포항시 남구 상도동 609-6번지,경상북도 포항시 남구 중흥로 88 (상도동),47111,10100,0,0609,0006,씨앤케이메디컬타워 제1동,제1동,2,집합,3,표제부,0,주건축물,03000,제1종근린생활시설,"제1종근린생활시설,의료시설,업무시설,단독주택",1,13,68,54.76,7,83.6,0,0,0,0,20231211,20241217,728.46,0,0,78.11,,0,2,0,,0,평스라브,철근콘크리트구조,0,0,,55.8,1,0,0,,,10101,88,471113303049,0,0,932.6,20211122,1101,신축허가,5020431,건축디자인과,2021,0,1025,10,(철근)콘크리트,VII-0.229g,1,,20220221,21,철근콘크리트구조,8985.46,8985.46,885.09,8254.32
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,14.0,4711110100106620004,122614875,경상북도 포항시 남구 상도동 662-4번지,경상북도 포항시 남구 중흥로 72 (상도동),47111,10100,0,0662,0004,,,1,일반,2,일반건축물,0,주건축물,14000,업무시설,"전시시설,업무시설",1,5,0,0,14,0,0,0,6,0,19881230,20221126,574.78,0,0,56.25,,0,0,0,,0,철근콘크리트,철근콘크리트조,0,0,,0,0,0,0,,,10101,72,471113303049,0,0,1021.8,19870911,,,,,,0,1593,10,(철근)콘크리트,,0,,,21,철근콘크리트구조,3563.28,3563.28,279.84,2859.38
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,11.0,4711110100106710004,122614927,경상북도 포항시 남구 상도동 671-4번지,경상북도 포항시 남구 희망대로 711 (상도동),47111,10100,0,0671,0004,,,1,일반,2,일반건축물,0,주건축물,14000,업무시설,업무시설,1,5,0,0,11,418.65,0,0,9,103.5,19930415,20221126,405.76,0,0,44.47,,0,0,0,,0,스라브,철근콘크리트,0,0,,22.7,0,0,0,,,10101,711,471112303004,0,0,912.4,19910712,,,,,,1,1651,10,(철근)콘크리트,,0,,19920414,21,철근콘크리트구조,2300.03,2300.03,183.74,1676.43
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,5.0,4711110200101040010,122616538,경상북도 포항시 남구 대도동 104-10번지,경상북도 포항시 남구 포스코대로367번길 4 (대도동),47111,10200,0,0104,0010,,,1,일반,2,일반건축물,0,주건축물,15000,숙박시설,숙박시설,1,4,2,23,3,34.5,0,0,0,0,19950721,20221126,166.68,0,0,70.33,,0,0,0,,0,스라브,철근콘크리트,0,0,,14.9,0,0,0,,,10201,4,471114709600,0,0,237,19941124,,,,,,0,1485,10,(철근)콘크리트,,0,,19941215,21,철근콘크리트구조,731.16,731.16,247.8,587.28
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,124.0,4711110300100330012,1226112597,경상북도 포항시 남구 해도동 33-12번지,경상북도 포항시 남구 중앙로 154 (해도동),47111,10300,0,0033,0012,학산타워,,2,집합,3,표제부,0,주건축물,14000,업무시설,"제1·2종근린생활시설,업무시설,공동주택,노인복지시설",3,20,60,0,64,0,0,0,39,0,19920709,20250207,1280.07,0,0,69.74,,1,1,0,,0,슬라브,"철골,철근콘크리트라멘조",0,0,,69.85,0,2,0,,,10301,154,471113303047,0,0,1835.4,19890725,,,,,,4,697,10,(철근)콘크리트,,1,,,41,철골콘크리트구조,23692.58,23692.58,938.56,17226.4
CONFIRMED_BASEMENT_PARKING_USE,층별개요 지하층(flrGbCd=10)의 용도에 주차장 포함,True,32.0,4711110300100600004,1226112637,경상북도 포항시 남구 해도동 60-4번지,경상북도 포항시 남구 상공로246번길 22 (해도동),47111,10300,0,0060,0004,(주)해도동보시장 상가아파트,,2,집합,3,표제부,0,주건축물,02000,공동주택,"판매시설, 공동주택",1,7,32,296.14,0,0,0,0,2,23,19950913,20221126,980.58,0,0,59.16,,0,0,0,,0,스라브,철근콘크리트조,0,0,,23.5,19,3,0,,,10301,22,471114709214,0,0,1657.5,19901208,,,,,,1,1444,10,(철근)콘크리트,,1,,19910205,21,철근콘크리트구조,5479.42,5479.42,258.77,4289.14
