city_county,building_count,elevation_available_count,elevation_min_m,elevation_median_m,elevation_max_m,overture_underground_floor_value_count,official_underground_parking_confirmed_count
경산시,32838,32838,38.134384,65.569534,809.0812,0,0
경주시,42357,42330,0.0,47.725006,662.5894,1,0
고령군,4886,4886,12.257058,29.13387,214.65411,0,0
구미시,26652,26652,20.851526,47.471466,948.3077,0,0
김천시,20936,20936,42.82996,80.534454,785.7921,0,0
문경시,8992,8992,48.725388,83.91922,849.5874,0,0
봉화군,3216,3216,168.7575,250.6784,1153.9952,0,0
상주시,14711,14711,43.38181,70.67117,1008.4154,0,0
성주군,13624,13618,20.363483,50.371094,775.71405,0,0
안동시,15062,15062,67.59253,104.666214,822.3444,0,0
영덕군,1465,1465,0.8838509,20.130003,433.7279,0,0
영양군,1168,1168,181.30809,233.97295,1138.5546,0,0
영주시,9770,9770,107.496346,172.21231,782.99695,0,0
영천시,18660,18631,52.194267,92.05696,1103.22,0,0
예천군,5717,5717,50.46581,91.90538,686.6224,1,0
울릉군,298,298,0.5294419,149.89412,969.8939,0,0
울진군,5166,5159,0.0,16.609724,1052.9164,0,0
의성군,5679,5679,50.699337,98.9486,457.8528,0,0
청도군,7935,7935,30.5,88.2381,1224.3591,0,0
청송군,214,214,174.3202,189.12636,1112.2416,0,0
칠곡군,17085,17066,19.683474,55.3783,713.19574,0,0
포항시,48627,48586,-6.070375,8.856689,422.85223,4,0
