building_id,province,city_county,building_name,latitude,longitude,building_class,building_subtype,height_m_overture,min_height_m_overture,floor_count_overture,underground_floor_count_overture,min_floor_overture,is_underground_structure_overture,has_parts_overture,source_dataset,source_license,source_record_id,overture_release,surface_elevation_m,local_approx_1km_min_surface_elevation_m,relative_elevation_to_local_building_min_m,elevation_source,elevation_release,elevation_model_type,relative_elevation_method,underground_parking_presence,underground_parking_evidence,underground_parking_is_confirmed_official
0000eec0-e8b0-4ff8-8c57-e3eea79e2ead,경상북도,경산시,,35.80456165,128.79571881149775,,,,,,,,False,False,doi:10.5281/zenodo.8174931,,,2026-08-19.0,79.52603,49.38418,30.141853,Copernicus DEM GLO-30 Public,GLO-30 2021,DSM_SURFACE_NOT_BARE_EARTH,3x3 grid of 0.01-degree building-centroid DSM minima,UNKNOWN_OFFICIAL_REGISTER_BLOCKED,Exact use requires Building HUB title+floor register or VWorld linked register,False
000375b3-65d3-4529-95bc-8d566f980f7c,경상북도,경산시,,35.83905935,128.75964969638449,,,,,,,,False,False,doi:10.5281/zenodo.8174931,,,2026-08-19.0,68.57071,38.988613,29.582096,Copernicus DEM GLO-30 Public,GLO-30 2021,DSM_SURFACE_NOT_BARE_EARTH,3x3 grid of 0.01-degree building-centroid DSM minima,UNKNOWN_OFFICIAL_REGISTER_BLOCKED,Exact use requires Building HUB title+floor register or VWorld linked register,False
0007c0ab-5dea-456b-81e1-c3ce0877c9d1,경상북도,경산시,,35.82158045,128.74990218004672,,,,,,,,False,False,doi:10.5281/zenodo.8174931,,,2026-08-19.0,65.8121,41.5638,24.248302,Copernicus DEM GLO-30 Public,GLO-30 2021,DSM_SURFACE_NOT_BARE_EARTH,3x3 grid of 0.01-degree building-centroid DSM minima,UNKNOWN_OFFICIAL_REGISTER_BLOCKED,Exact use requires Building HUB title+floor register or VWorld linked register,False
00091db8-4020-4749-96c7-6390db16f59e,경상북도,경산시,,35.8189783,128.72776943506256,,,,,,,,False,False,doi:10.5281/zenodo.8174931,,,2026-08-19.0,60.526573,48.019913,12.50666,Copernicus DEM GLO-30 Public,GLO-30 2021,DSM_SURFACE_NOT_BARE_EARTH,3x3 grid of 0.01-degree building-centroid DSM minima,UNKNOWN_OFFICIAL_REGISTER_BLOCKED,Exact use requires Building HUB title+floor register or VWorld linked register,False
0009c212-9f26-4b1c-8f9c-0dc3ff6c3c17,경상북도,경산시,,35.826902149999995,128.7385559,,,,,,,,False,False,doi:10.5281/zenodo.8174931,,,2026-08-19.0,54.36177,38.134384,16.227386,Copernicus DEM GLO-30 Public,GLO-30 2021,DSM_SURFACE_NOT_BARE_EARTH,3x3 grid of 0.01-degree building-centroid DSM minima,UNKNOWN_OFFICIAL_REGISTER_BLOCKED,Exact use requires Building HUB title+floor register or VWorld linked register,False
000ba215-0d35-4894-bf58-fdcf32add4ff,경상북도,경산시,,35.841708749999995,128.7898647207453,,,,,,,,False,False,doi:10.5281/zenodo.8174931,,,2026-08-19.0,46.33769,42.688396,3.649292,Copernicus DEM GLO-30 Public,GLO-30 2021,DSM_SURFACE_NOT_BARE_EARTH,3x3 grid of 0.01-degree building-centroid DSM minima,UNKNOWN_OFFICIAL_REGISTER_BLOCKED,Exact use requires Building HUB title+floor register or VWorld linked register,False
0010e011-5668-4b60-86f5-182a244961fe,경상북도,경산시,,35.9225572,128.8402882301391,,,,,,,,False,False,doi:10.5281/zenodo.8174931,,,2026-08-19.0,54.73616,50.568905,4.1672554,Copernicus DEM GLO-30 Public,GLO-30 2021,DSM_SURFACE_NOT_BARE_EARTH,3x3 grid of 0.01-degree building-centroid DSM minima,UNKNOWN_OFFICIAL_REGISTER_BLOCKED,Exact use requires Building HUB title+floor register or VWorld linked register,False
001421ca-25f9-40ac-bff2-871fbd53a8dd,경상북도,경산시,,35.79369145,128.83237176772263,,,,,,,,False,False,doi:10.5281/zenodo.8174931,,,2026-08-19.0,66.24072,59.45552,6.785202,Copernicus DEM GLO-30 Public,GLO-30 2021,DSM_SURFACE_NOT_BARE_EARTH,3x3 grid of 0.01-degree building-centroid DSM minima,UNKNOWN_OFFICIAL_REGISTER_BLOCKED,Exact use requires Building HUB title+floor register or VWorld linked register,False
00145255-f91a-4187-8327-1181075f6b0c,경상북도,경산시,,35.83975265,128.7861796988278,,,,,,,,False,False,doi:10.5281/zenodo.8174931,,,2026-08-19.0,66.376564,44.950733,21.42583,Copernicus DEM GLO-30 Public,GLO-30 2021,DSM_SURFACE_NOT_BARE_EARTH,3x3 grid of 0.01-degree building-centroid DSM minima,UNKNOWN_OFFICIAL_REGISTER_BLOCKED,Exact use requires Building HUB title+floor register or VWorld linked register,False
001a97fd-0577-4544-aa68-810a578d83dc,경상북도,경산시,,35.86091345,128.7885178,,,,,,,,False,False,doi:10.5281/zenodo.8174931,,,2026-08-19.0,51.892323,41.97523,9.917091,Copernicus DEM GLO-30 Public,GLO-30 2021,DSM_SURFACE_NOT_BARE_EARTH,3x3 grid of 0.01-degree building-centroid DSM minima,UNKNOWN_OFFICIAL_REGISTER_BLOCKED,Exact use requires Building HUB title+floor register or VWorld linked register,False
