event_id,storm_group_id,fldn_bgng_ymd,fldn_bgng_tm,station_id,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,hours_available_1h,hours_available_3h,hours_available_6h,hours_available_12h,hours_available_24h
GB-20020831-1600,GB-STORM-20020831,20020831,1600,100,42.5,,,,,1,1,1,7,19
GB-20020831-1600,GB-STORM-20020831,20020831,1600,101,1.5,5.0,6.5,14.5,14.5,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,102,0.0,0.0,0.0,0.0,0.0,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,105,22.5,72.5,160.0,383.5,414.0,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,106,13.0,21.0,60.0,131.5,155.0,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,108,2.0,5.5,7.5,13.0,13.0,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,112,1.0,2.5,3.0,6.0,6.0,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,113,0.9,3.2,4.4,6.0,6.0,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,114,5.5,7.5,8.0,9.5,16.0,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,115,1.5,5.0,19.0,20.0,20.0,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,116,0.0,0.0,0.0,0.0,0.0,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,119,2.5,4.0,4.5,10.5,10.5,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,121,8.0,16.0,21.0,22.5,26.0,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,127,8.5,19.0,23.5,25.5,30.5,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,129,7.5,14.0,17.5,27.5,29.0,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,130,14.0,31.0,38.5,45.5,48.0,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,131,1.0,6.5,10.0,14.0,19.5,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,133,4.5,10.5,18.5,24.5,28.5,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,135,29.5,59.5,81.5,94.0,104.0,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,136,12.0,24.5,31.5,35.0,42.0,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,137,19.5,38.0,56.5,67.0,78.5,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,138,15.5,48.0,65.5,73.0,84.5,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,140,0.5,1.5,8.5,15.0,18.0,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,143,17.0,46.5,64.5,71.5,91.0,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,144,0.5,3.0,10.5,20.0,25.5,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,146,6.5,14.0,18.0,20.5,26.0,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,152,20.5,48.5,82.5,97.0,111.5,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,155,18.0,44.5,63.0,99.0,110.0,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,156,12.0,50.0,69.0,83.5,90.0,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,159,7.5,43.5,66.5,92.0,,1,3,6,12,18
GB-20020831-1600,GB-STORM-20020831,20020831,1600,160,1.0,7.5,16.0,29.5,41.5,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,162,19.0,73.5,135.5,173.0,178.0,1,3,6,12,24
GB-20020831-1600,GB-STORM-20020831,20020831,1600,165,3.0,6.5,12.5,33.0,46.0,1,3,6,12,24
